PlantID,PlantName,AccessionID,AccessionName,ExperimentID,ExperimentName,ExperimentCondition,GrowthLocation,TrayPosition,SampleID,SampleName,SampleType,PlateName,PlateCoordinate,NameInWell,TubeBarcode,Notes
P35092,LB-1-9,A25092,LB-1-9,none,none,nature,wild,none,S45092,1-9,leaf,Emelliodora_LB_Block1,D12,site1-9,none,
P35093,LB-1-10,A25093,LB-1-10,none,none,nature,wild,none,S45093,1-10,leaf,Emelliodora_LB_Block1,E12,site1-10,none,
P35094,LB-C-1,A25094,LB-C-1,none,none,nature,wild,none,S45094,C-1,leaf,Emelliodora_LB_Block1,F12,C1,none,
P35095,LB-C-2,A25095,LB-C-2,none,none,nature,wild,none,S45095,C-2,leaf,Emelliodora_LB_Block1,G12,C2,none,
P35096,LB-C-3,A25096,LB-C-3,none,none,nature,wild,none,S45096,C-3,leaf,Emelliodora_LB_Block1,H12,C3,none,failed—no reads
P35097,LB-C-4,A25097,LB-C-4,none,none,nature,wild,none,S45097,C-4,leaf,Emelliodora_LB_Block2,A1,C4,none,
P35098,LB-C-5,A25098,LB-C-5,none,none,nature,wild,none,S45098,C-5,leaf,Emelliodora_LB_Block2,B1,C5,none,
P35099,LB-C-6,A25099,LB-C-6,none,none,nature,wild,none,S45099,C-6,leaf,Emelliodora_LB_Block2,C1,C6,none,
P35100,LB-C-7,A25100,LB-C-7,none,none,nature,wild,none,S45100,C-7,leaf,Emelliodora_LB_Block2,D1,C7,none,
P35101,LB-C-8,A25101,LB-C-8,none,none,nature,wild,none,S45101,C-8,leaf,Emelliodora_LB_Block2,E1,C8,none,
P35102,LB-C-9,A25102,LB-C-9,none,none,nature,wild,none,S45102,C-9,leaf,Emelliodora_LB_Block2,F1,C9,none,
P35103,LB-N2-1,A25103,LB-N2-1,none,none,nature,wild,none,S45103,N2-1,leaf,Emelliodora_LB_Block2,G1,N2-1,none,
P35104,LB-N2-2,A25104,LB-N2-2,none,none,nature,wild,none,S45104,N2-2,leaf,Emelliodora_LB_Block2,H1,N2-2,none,failed—too few reads
P35105,LB-N2-3,A25105,LB-N2-3,none,none,nature,wild,none,S45105,N2-3,leaf,Emelliodora_LB_Block2,A2,N2-3,none,
P35106,LB-N2-4,A25106,LB-N2-4,none,none,nature,wild,none,S45106,N2-4,leaf,Emelliodora_LB_Block2,B2,N2-4,none,
P35107,LB-N2-5,A25107,LB-N2-5,none,none,nature,wild,none,S45107,N2-5,leaf,Emelliodora_LB_Block2,C2,N2-5,none,
P35108,LB-N2-6,A25108,LB-N2-6,none,none,nature,wild,none,S45108,N2-6,leaf,Emelliodora_LB_Block2,D2,N2-6,none,
P35109,LB-N2-7,A25109,LB-N2-7,none,none,nature,wild,none,S45109,N2-7,leaf,Emelliodora_LB_Block2,E2,N2-7,none,
P35110,LB-N2-8,A25110,LB-N2-8,none,none,nature,wild,none,S45110,N2-8,leaf,Emelliodora_LB_Block2,F2,N2-8,none,
P35111,LB-N2-9,A25111,LB-N2-9,none,none,nature,wild,none,S45111,N2-9,leaf,Emelliodora_LB_Block2,G2,N2-9,none,
P35112,LB-N2-10,A25112,LB-N2-10,none,none,nature,wild,none,S45112,N2-10,leaf,Emelliodora_LB_Block2,H2,N2-10,none,
P35113,LB-N1-1,A25113,LB-N1-1,none,none,nature,wild,none,S45113,N1-1,leaf,Emelliodora_LB_Block2,A3,N1-1,none,
P35114,LB-N1-2,A25114,LB-N1-2,none,none,nature,wild,none,S45114,N1-2,leaf,Emelliodora_LB_Block2,B3,N1-2,none,
P35115,LB-N1-3,A25115,LB-N1-3,none,none,nature,wild,none,S45115,N1-3,leaf,Emelliodora_LB_Block2,C3,N1-3,none,
P35116,LB-N1-4,A25116,LB-N1-4,none,none,nature,wild,none,S45116,N1-4,leaf,Emelliodora_LB_Block2,D3,N1-4,none,
P35117,LB-N1-5,A25117,LB-N1-5,none,none,nature,wild,none,S45117,N1-5,leaf,Emelliodora_LB_Block2,E3,N1-5,none,
P35118,LB-N1-6,A25118,LB-N1-6,none,none,nature,wild,none,S45118,N1-6,leaf,Emelliodora_LB_Block2,F3,N1-6,none,
P35119,LB-N1-7,A25119,LB-N1-7,none,none,nature,wild,none,S45119,N1-7,leaf,Emelliodora_LB_Block2,G3,N1-7,none,
P35120,LB-N1-8,A25120,LB-N1-8,none,none,nature,wild,none,S45120,N1-8,leaf,Emelliodora_LB_Block2,H3,N1-8,none,
P35121,LB-N1-9,A25121,LB-N1-9,none,none,nature,wild,none,S45121,N1-9,leaf,Emelliodora_LB_Block2,A4,N1-9,none,
P35122,LB-N1-10,A25122,LB-N1-10,none,none,nature,wild,none,S45122,N1-10,leaf,Emelliodora_LB_Block2,B4,N1-10,none,
P35123,LB-3-1,A25123,LB-3-1,none,none,nature,wild,none,S45123,3-1,leaf,Emelliodora_LB_Block2,C4,site3-1,none,
P35124,LB-3-2,A25124,LB-3-2,none,none,nature,wild,none,S45124,3-2,leaf,Emelliodora_LB_Block2,D4,site3-2,none,
P35125,LB-3-3,A25125,LB-3-3,none,none,nature,wild,none,S45125,3-3,leaf,Emelliodora_LB_Block2,E4,site3-3,none,
P35126,LB-3-4,A25126,LB-3-4,none,none,nature,wild,none,S45126,3-4,leaf,Emelliodora_LB_Block2,F4,site3-4,none,
P35127,LB-3-5,A25127,LB-3-5,none,none,nature,wild,none,S45127,3-5,leaf,Emelliodora_LB_Block2,G4,site3-5,none,
P35128,LB-3-6,A25128,LB-3-6,none,none,nature,wild,none,S45128,3-6,leaf,Emelliodora_LB_Block2,H4,site3-6,none,
P35129,LB-3-7,A25129,LB-3-7,none,none,nature,wild,none,S45129,3-7,leaf,Emelliodora_LB_Block2,A5,site3-7,none,
P35130,LB-3-8,A25130,LB-3-8,none,none,nature,wild,none,S45130,3-8,leaf,Emelliodora_LB_Block2,B5,site3-8,none,
P35131,LB-3-9,A25131,LB-3-9,none,none,nature,wild,none,S45131,3-9,leaf,Emelliodora_LB_Block2,C5,site3-9,none,
P35132,LB-3-10,A25132,LB-3-10,none,none,nature,wild,none,S45132,3-10,leaf,Emelliodora_LB_Block2,D5,site3-10,none,
P35133,LB-7-1,A25133,LB-7-1,none,none,nature,wild,none,S45133,7-1,leaf,Emelliodora_LB_Block2,E5,site7-1,none,geogout
P35134,LB-7-2,A25134,LB-7-2,none,none,nature,wild,none,S45134,7-2,leaf,Emelliodora_LB_Block2,F5,site7-2,none,geogout
P35135,LB-7-3,A25135,LB-7-3,none,none,nature,wild,none,S45135,7-3,leaf,Emelliodora_LB_Block2,G5,site7-3,none,geogout
P35136,LB-7-4,A25136,LB-7-4,none,none,nature,wild,none,S45136,7-4,leaf,Emelliodora_LB_Block2,H5,site7-4,none,geogout
P35137,LB-7-5,A25137,LB-7-5,none,none,nature,wild,none,S45137,7-5,leaf,Emelliodora_LB_Block2,A6,site7-5,none,geogout
P35138,LB-7-6,A25138,LB-7-6,none,none,nature,wild,none,S45138,7-6,leaf,Emelliodora_LB_Block2,B6,site7-6,none,geogout
P35139,LB-7-7,A25139,LB-7-7,none,none,nature,wild,none,S45139,7-7,leaf,Emelliodora_LB_Block2,C6,site7-7,none,geogout
P35140,LB-B-1,A25140,LB-B-1,none,none,nature,wild,none,S45140,B-1,leaf,Emelliodora_LB_Block2,D6,B1,none,
P35141,LB-B-2,A25141,LB-B-2,none,none,nature,wild,none,S45141,B-2,leaf,Emelliodora_LB_Block2,E6,B2,none,
P35142,LB-B-3,A25142,LB-B-3,none,none,nature,wild,none,S45142,B-3,leaf,Emelliodora_LB_Block2,F6,B3,none,
P35143,LB-B-4,A25143,LB-B-4,none,none,nature,wild,none,S45143,B-4,leaf,Emelliodora_LB_Block2,G6,B4,none,
P35144,LB-B-5,A25144,LB-B-5,none,none,nature,wild,none,S45144,B-5,leaf,Emelliodora_LB_Block2,H6,B5,none,
P35145,LB-B-6,A25145,LB-B-6,none,none,nature,wild,none,S45145,B-6,leaf,Emelliodora_LB_Block2,A7,B6,none,
P35146,LB-B-7,A25146,LB-B-7,none,none,nature,wild,none,S45146,B-7,leaf,Emelliodora_LB_Block2,B7,B7,none,
P35147,LB-B-8,A25147,LB-B-8,none,none,nature,wild,none,S45147,B-8,leaf,Emelliodora_LB_Block2,C7,B8,none,
P35148,LB-B-9,A25148,LB-B-9,none,none,nature,wild,none,S45148,B-9,leaf,Emelliodora_LB_Block2,D7,B9,none,
P35149,LB-B-10,A25149,LB-B-10,none,none,nature,wild,none,S45149,B-10,leaf,Emelliodora_LB_Block2,E7,B10,none,
P35150,LB-J2-1,A25150,LB-J2-1,none,none,nature,wild,none,S45150,J2-1,leaf,Emelliodora_LB_Block2,F7,J2-1,none,
P35151,LB-J2-2,A25151,LB-J2-2,none,none,nature,wild,none,S45151,J2-2,leaf,Emelliodora_LB_Block2,G7,J2-2,none,
P35152,LB-J2-3,A25152,LB-J2-3,none,none,nature,wild,none,S45152,J2-3,leaf,Emelliodora_LB_Block2,H7,J2-3,none,
P35153,LB-J2-4,A25153,LB-J2-4,none,none,nature,wild,none,S45153,J2-4,leaf,Emelliodora_LB_Block2,A8,J2-4,none,
