AccessionID,AccessionName,HasSeed,Project,PopulationName,NumberOfMaternalLines,DateCollected,Latitude,Longitude,Altitude,StorageLocation,Source,ExternalID,Notes,FatherAccessionID,MotherAccessionID,SeedRemaining,SeedlingLocation
A20238,S2T7,?,E.marginata,S2,1,2014,-32.37845,116.31286,?,?,JB/RM,none,,unknown,unknown,?,?
A20239,S1T19,?,E.marginata,S1,1,2014,-32.34934,116.10087,?,?,JB/RM,none,,unknown,unknown,?,?
A20240,S9T13,?,E.marginata,S9,1,2014,-34.07409,116.58922,?,?,JB/RM,none,,unknown,unknown,?,?
A20241,S9T10,?,E.marginata,S9,1,2014,-34.07557,116.5833,?,?,JB/RM,none,,unknown,unknown,?,?
A20242,S4T11,?,E.marginata,S4,1,2014,-32.79195,116.22511,?,?,JB/RM,none,,unknown,unknown,?,?
A20243,LT79,?,E.marginata,T4,1,2014,-33.91554,115.54929,?,?,JB/RM,none,,unknown,unknown,?,?
A20244,LT45,?,E.marginata,T2,1,2014,-32.81778,115.71828,?,?,JB/RM,none,,unknown,unknown,?,?
A20245,S5T8,?,E.marginata,S5,1,2014,-32.75279,116.08531,?,?,JB/RM,none,,unknown,unknown,?,?
A20246,S5T11,?,E.marginata,S5,1,2014,-32.74231,116.07786,?,?,JB/RM,none,,unknown,unknown,?,?
A20247,S2T9,?,E.marginata,S2,1,2014,-32.38077,116.31295,?,?,JB/RM,none,,unknown,unknown,?,?
A20248,S3T4,?,E.marginata,S3,1,2014,-32.45071,116.52822,?,?,JB/RM,none,,unknown,unknown,?,?
A20249,LT81,?,E.marginata,T4,1,2014,-33.9357,115.61216,?,?,JB/RM,none,,unknown,unknown,?,?
A20250,S1T6,?,E.marginata,S1,1,2014,-32.34248,116.08256,?,?,JB/RM,none,,unknown,unknown,?,?
A20251,S10T9,?,E.marginata,S10,1,2014,-34.74038,116.70716,?,?,JB/RM,none,,unknown,unknown,?,?
A20252,S8T9,?,E.marginata,S8,1,2014,-33.92172,115.40179,?,?,JB/RM,none,,unknown,unknown,?,?
A20253,S2T11,?,E.marginata,S2,1,2014,-32.38353,116.3131,?,?,JB/RM,none,,unknown,unknown,?,?
A20254,LT4,?,E.marginata,T1,1,2014,-32.37954,116.21782,?,?,JB/RM,none,,unknown,unknown,?,?
A20255,LT90,?,E.marginata,T4,1,2014,-34.0096,116.0072,?,?,JB/RM,none,,unknown,unknown,?,?
A20256,S7T13,?,E.marginata,S7,1,2014,-33.23148,116.57423,?,?,JB/RM,none,,unknown,unknown,?,?
A20257,LT14,?,E.marginata,T2,1,2014,-32.83297,116.46999,?,?,JB/RM,none,,unknown,unknown,?,?
A20258,S5T3,?,E.marginata,S5,1,2014,-32.74479,116.08267,?,?,JB/RM,none,,unknown,unknown,?,?
A20259,LT123,?,E.marginata,T5,1,2014,-33.08243,115.9172,?,?,JB/RM,none,,unknown,unknown,?,?
A20260,S5T12,?,E.marginata,S5,1,2014,-32.74072,116.07779,?,?,JB/RM,none,,unknown,unknown,?,?
A20261,LT95,?,E.marginata,T4,1,2014,-34.0676,116.28853,?,?,JB/RM,none,,unknown,unknown,?,?
A20262,S3T6,?,E.marginata,S3,1,2014,-32.45087,116.5308,?,?,JB/RM,none,,unknown,unknown,?,?
A20263,S2T5,?,E.marginata,S2,1,2014,-32.37593,116.311,?,?,JB/RM,none,,unknown,unknown,?,?
A20264,LT75,?,E.marginata,T4,1,2014,-33.92703,115.35731,?,?,JB/RM,none,,unknown,unknown,?,?
A20265,LT59,?,E.marginata,T3,1,2014,-33.37497,116.21679,?,?,JB/RM,none,,unknown,unknown,?,?
A20266,S1T9,?,E.marginata,S1,1,2014,-32.34487,116.08659,?,?,JB/RM,none,,unknown,unknown,?,?
A20267,S1T5,?,E.marginata,S1,1,2014,-32.342,116.08102,?,?,JB/RM,none,,unknown,unknown,?,?
A20268,LT105,?,E.marginata,T5,1,2014,-34.78056,116.71911,?,?,JB/RM,none,,unknown,unknown,?,?
A20269,S1T3,?,E.marginata,S1,1,2014,-32.3407,116.07792,?,?,JB/RM,none,,unknown,unknown,?,?
A20270,LT34,?,E.marginata,T2,1,2014,-32.73581,116.10424,?,?,JB/RM,none,,unknown,unknown,?,?
A20271,S10T5,?,E.marginata,S10,1,2014,-34.7485,116.71216,?,?,JB/RM,none,,unknown,unknown,?,?
A20272,LT56,?,E.marginata,T3,1,2014,-33.36501,116.38746,?,?,JB/RM,none,,unknown,unknown,?,?
